2026-09-14 13:07:59 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-09-14 13:07:59 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-09-14 13:08:00 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-09-14 13:08:00 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-09-14 13:08:00 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-09-14 13:08:00 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-09-14 13:08:01 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-09-14 13:08:01 | INFO | sqlalchemy.engine.Engine | COMMIT
2026-09-14 13:08:01 | INFO | app.db.databse | Database tables created successfully
2026-09-14 13:09:22 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-09-14 13:09:22 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-09-14 13:09:23 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-09-14 13:09:23 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-09-14 13:09:23 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-09-14 13:09:23 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-09-14 13:09:24 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-09-14 13:09:24 | INFO | sqlalchemy.engine.Engine | COMMIT
2026-09-14 13:09:24 | INFO | app.db.databse | Database tables created successfully
